שם החומר (עברית),Chemical Name (English),נוסחה כימית,מספר CAS,נקודת הבזק (°C),נקודת רתיחה (°C),LEL (%),UEL (%),טמפרטורת התלקחות עצמית (°C),לחץ אדים (mmHg @ 20°C),צפיפות יחסית (מים=1),צפיפות אדים (אוויר=1),מסיסות במים,pH (אם רלוונטי),קבוצת NFPA 400 ראשית,תת-קבוצה NFPA 400,קבוצות NFPA 400 נוספות,סיווג NFPA 30,Class NFPA 30,LC50 (ppm),LD50 (mg/kg),רמת סיכון בריאות NFPA,רמת דליקות NFPA,רמת תגובתיות NFPA,סיכונים מיוחדים NFPA,UN Number,Class DOT,Packing Group,הערות,"MAQ אחסון - מערכת סגורה (ק""ג/ליטר)","MAQ אחסון - מערכת פתוחה (ק""ג/ליטר)","MAQ שימוש - מערכת סגורה (ק""ג/ליטר)","MAQ שימוש - מערכת פתוחה (ק""ג/ליטר)","MAQ גז - אחסון (מ""ק)","MAQ גז - שימוש (מ""ק)",Protection Level,הערות MAQ,יחידות MAQ
thioglycolic acid,Thioglycolic Acid,C₂H₄O₂S,68-11-1,נוזל,129,123,,,,1,1.33,3.2,מסיס,3.4,נוזל בעיר,Class IIIA,קורוזיבי,נוזל בעיר,Class IIIA,,,3,2,0,COR,1940,8,III,454.2,1249,,,,,3,Use: See Note 1,ליטר
carbon tetrachloride,Carbon Tetrachloride,CCl₄,56-23-5,נוזל,לא דליק,77,,,,90,1.59,5.3,לא מסיס,,לא דליק,,רעיל+מסרטן,לא רלוונטי,,,,3,0,0,,1846,6.1,III,,,,,,,,,
"1,2-dichloroethane","1,2-Dichloroethane",C₂H₄Cl₂,107-06-2,נוזל,13,83,6.2,16,413,61,1.25,3.4,מסיס מעט,,נוזל דליק,Class IB,מסרטן,נוזל דליק,Class IB,,,2,3,0,,1184,3,II,454.2,454.2,,,,,3,Use: See Note 1,ליטר
mercury metal,Mercury,Hg,7439-97-6,נוזל,לא דליק,357,,,,0.002,13.53,6.9,לא מסיס,,מתכת נוזלית,,רעיל מאוד,לא רלוונטי,,,,3,0,0,,2809,8,III,,,,,,,,,
lead acetate,Lead Acetate,C₄H₆O₄Pb,301-04-2,מוצק,לא דליק,280,,,,<0.01,3.25,,מסיס,,מוצק,,רעיל,לא רלוונטי,,,,3,0,0,,?,6.1,III,,,,,,,,,
cadmium oxide,Cadmium Oxide,CdO,1306-19-0,מוצק,לא דליק,900,,,,<0.01,8.15,,לא מסיס,,מוצק,,רעיל+מסרטן,לא רלוונטי,,,,3,0,0,,2570,6.1,II,,,,,,,,,
carbon monoxide,Carbon Monoxide,CO,630-08-0,גז,לא דליק,-192,12.5,74,609,לא רלוונטי,?,0.97,לא מסיס,,גז דליק רעיל,,,לא רלוונטי,,1200,,3,4,0,,1016,2.3,,,,,,,,,,
nitrous oxide,Nitrous Oxide,N₂O,10024-97-2,גז,לא דליק,-88,,,,לא רלוונטי,?,1.53,מסיס,,גז מחמצן,,,לא רלוונטי,,,,2,0,0,OX,1070,2.2,,,,,,,,,,
sulfur hexafluoride,Sulfur Hexafluoride,SF₆,2551-62-4,גז,לא דליק,-64,,,,לא רלוונטי,?,5.1,לא מסיס,,גז אינרטי,,,לא רלוונטי,,,,0,0,0,,1080,2.2,,,,,,,,,,
sodium azide,Sodium Azide,NaN₃,26628-22-8,מוצק,לא דליק,275,,,,<0.01,1.85,,מסיס,,מוצק,,רעיל מאוד+נפץ,לא רלוונטי,,,,4,1,3,,1687,6.1,II,,,,,,,,,
potassium cyanide,Potassium Cyanide,KCN,151-50-8,מוצק,לא דליק,634,,,,<0.01,1.52,,מסיס,11,מוצק,,רעיל מאוד,לא רלוונטי,,5,,4,0,0,,1680,6.1,I,,,,,,,,,
sodium cyanide,Sodium Cyanide,NaCN,143-33-9,מוצק,לא דליק,563,,,,<0.01,1.60,,מסיס,11,מוצק,,רעיל מאוד,לא רלוונטי,,5,,4,0,0,,1689,6.1,I,,,,,,,,,
zinc chromate,Zinc Chromate,ZnCrO₄,13530-65-9,מוצק,לא דליק,מתפרק,,,,<0.01,3.40,,לא מסיס,,מוצק מחמצן,,מסרטן,לא רלוונטי,,,,3,0,1,OX,3288,6.1,II,,,,,,,,,
lead chromate,Lead Chromate,PbCrO₄,7758-97-6,מוצק,לא דליק,844,,,,<0.01,6.12,,לא מסיס,,מוצק מחמצן,,מסרטן,לא רלוונטי,,,,3,0,1,OX,3288,6.1,II,,,,,,,,,
barium sulfate,Barium Sulfate,BaSO₄,7727-43-7,מוצק,לא דליק,1580,,,,<0.01,4.50,,לא מסיס,,מוצק,,,לא רלוונטי,,,,1,0,0,,לא רלוונטי,,,,,,,,,,,
epoxy resin,Epoxy Resin,תערובת,משתנה,נוזל,>100,>300,,,,<0.01,1.2,,לא מסיס,,נוזל בעיר,Class IIIB,מגרה,נוזל בעיר,Class IIIB,,,2,1,1,,לא רלוונטי,,,454.2,454.2,,,,,3,Use: See Note 1,ליטר
polyurethane prepolymer,Polyurethane Prepolymer,תערובת,משתנה,נוזל,>100,>200,,,,<1,1.1,,לא מסיס,,נוזל בעיר,Class IIIB,,נוזל בעיר,Class IIIB,,,2,1,1,,לא רלוונטי,,,454.2,454.2,,,,,3,Use: See Note 1,ליטר
trisodium phosphate,Trisodium Phosphate,Na₃PO₄,7601-54-9,מוצק,לא דליק,1583,,,,<0.01,2.54,,מסיס,12,מוצק,,קורוזיבי קל,לא רלוונטי,,,,2,0,0,COR,לא רלוונטי,,,,,,,,,,,
sodium metasilicate,Sodium Metasilicate,Na₂SiO₃,6834-92-0,מוצק,לא דליק,1089,,,,<0.01,2.61,,מסיס,13,מוצק,,קורוזיבי,לא רלוונטי,,,,3,0,0,COR,3253,8,III,,,,,,,,,
